Ticker,Total_Trades,Win_Rate_Pct,Net_PnL,Final_Capital,Avg_Days_Held
TR,131,77.09923664122137,604414.5990534574,614414.5990534574,57.908396946564885
ESE,111,75.67567567567568,595784.1892168522,605784.1892168522,48.98198198198198
WKC,132,69.6969696969697,595311.5756769776,605311.5756769776,46.28030303030303
BKTI,134,67.91044776119402,594934.1539971828,604934.1539971828,65.34328358208955
VRTX,99,72.72727272727273,592674.1291599274,602674.1291599274,57.75757575757576
SHW,123,76.42276422764228,588502.8551605344,598502.8551605344,52.983739837398375
AON,136,75.73529411764706,581440.7702165842,591440.7702165842,48.161764705882355
RMD,90,72.22222222222221,580734.0881597996,590734.0881597996,48.388888888888886
ITW,157,73.88535031847134,580665.0794188976,590665.0794188976,51.71337579617835
AVY,161,72.67080745341616,570864.9382945299,580864.9382945299,51.975155279503106
INDB,112,75.89285714285714,567936.8645860553,577936.8645860553,58.080357142857146
GGG,149,72.48322147651007,564816.6035480723,574816.6035480723,46.47651006711409
TXN,154,70.77922077922078,562535.2315573692,572535.2315573692,56.09090909090909
PKE,143,68.53146853146853,559935.9829832911,569935.9829832911,53.89510489510489
UNH,119,75.63025210084034,555064.2992499322,565064.2992499322,43.08403361344538
AIRT,106,63.20754716981132,553491.3565100133,563491.3565100133,77.47169811320755
TRV,166,73.49397590361446,553161.0177323818,563161.0177323818,44.54819277108434
AREN,74,62.16216216216216,551776.4190081954,561776.4190081954,47.486486486486484
MOV,102,75.49019607843137,551633.4750119448,561633.4750119448,54.3921568627451
PEBK,151,82.11920529801324,549650.8053233624,559650.8053233624,44.615894039735096
ADSK,122,73.77049180327869,545991.9443654418,555991.9443654418,53.368852459016395
CAH,133,75.93984962406014,543194.9434382915,553194.9434382915,45.58646616541353
JCTC,114,76.31578947368422,542918.8952024281,552918.8952024281,47.04385964912281
DAKT,93,74.19354838709677,542906.0689463019,552906.0689463019,57.956989247311824
DRI,96,78.125,542408.3939614296,552408.3939614296,53.6875
CPRT,102,76.47058823529412,542279.1407178938,552279.1407178938,43.068627450980394
KLAC,130,70.0,539354.7924408615,549354.7924408615,50.49230769230769
BOSC,95,63.1578947368421,535765.5166494846,545765.5166494846,64.8
CCBG,85,83.52941176470588,535764.4714870453,545764.4714870453,60.6
VIRC,162,66.0493827160494,532124.6547700465,542124.6547700465,54.51234567901235
HALO,73,76.71232876712328,531526.3594839573,541526.3594839573,47.602739726027394
CSPI,110,69.0909090909091,529984.1726232767,539984.1726232767,71.76363636363637
RIME,101,66.33663366336634,524543.5398328304,534543.5398328304,64.00990099009901
NJR,134,78.35820895522389,523989.3141396642,533989.3141396642,51.007462686567166
ESP,152,69.73684210526315,514629.4360111058,524629.4360111058,53.96052631578947
CMI,171,76.0233918128655,512415.60099989176,522415.60099989176,49.91812865497076
WSO,134,73.13432835820896,508690.662961781,518690.662961781,45.365671641791046
CCLD,42,71.42857142857143,504549.37284499407,514549.37284499407,61.88095238095238
SILC,113,66.3716814159292,502209.9726625383,512209.9726625383,53.54867256637168
TTE,104,83.65384615384616,500791.7607793808,510791.7607793808,46.41346153846154
NXTS,33,63.63636363636363,490421.87544703484,500421.87544703484,103.27272727272727
KGC,148,59.45945945945946,489513.9325995445,499513.9325995445,56.304054054054056
CRS,185,69.1891891891892,482927.9240010381,492927.9240010381,46.983783783783785
TII,20,75.0,481641.91235587,491641.91235587,52.25
UFPT,79,70.88607594936708,480212.700053215,490212.700053215,67.40506329113924
HSY,125,75.2,477291.88261151314,487291.88261151314,55.856
DHR,127,73.22834645669292,476986.08286942355,486986.08286942355,53.98425196850393
MAT,142,69.71830985915493,475813.30544245243,485813.30544245243,57.59154929577465
PEP,148,76.35135135135135,472865.0272154361,482865.0272154361,52.08108108108108
SPCB,74,55.4054054054054,472362.1417798996,482362.1417798996,66.55405405405405
BALL,153,69.28104575163398,468845.8330007717,478845.8330007717,50.94117647058823
ES,152,77.63157894736842,466224.4012911916,476224.4012911916,53.28947368421053
